tsv	Biosample.term.name	ID
ENCFF766VIZ.tsv	lower leg skin	ENCFF766VIZ
ENCFF391YMU.tsv	dendritic cell	ENCFF391YMU
ENCFF316BTV.tsv	subcutaneous adipose tissue	ENCFF316BTV
ENCFF327QEE.tsv	dendritic cell	ENCFF327QEE
ENCFF414QHM.tsv	dendritic cell	ENCFF414QHM
ENCFF859QWL.tsv	placenta	ENCFF859QWL
ENCFF735XYK.tsv	upper lobe of left lung	ENCFF735XYK
ENCFF043HPQ.tsv	dendritic cell	ENCFF043HPQ
ENCFF311HGE.tsv	heart left ventricle	ENCFF311HGE
ENCFF056JMG.tsv	HFFc6	ENCFF056JMG
ENCFF155ZUU.tsv	astrocyte	ENCFF155ZUU
ENCFF917WYN.tsv	aorta	ENCFF917WYN
ENCFF002NOM.tsv	placenta	ENCFF002NOM
ENCFF653OLW.tsv	kidney	ENCFF653OLW
ENCFF119FZL.tsv	left cardiac atrium	ENCFF119FZL
ENCFF997RHB.tsv	HFFc6	ENCFF997RHB
ENCFF683JSC.tsv	stomach	ENCFF683JSC
ENCFF539KXZ.tsv	adrenal gland	ENCFF539KXZ
ENCFF890XTW.tsv	spleen	ENCFF890XTW
ENCFF435PHM.tsv	HCT116	ENCFF435PHM
ENCFF480KNS.tsv	lower lobe of right lung	ENCFF480KNS
ENCFF320BJB.tsv	placenta	ENCFF320BJB
ENCFF217MKR.tsv	chondrocyte	ENCFF217MKR
ENCFF290ZZQ.tsv	neural crest cell	ENCFF290ZZQ
ENCFF910OBU.tsv	H1	ENCFF910OBU
ENCFF178KKE.tsv	WTC11	ENCFF178KKE
ENCFF826BEQ.tsv	right cardiac atrium	ENCFF826BEQ
ENCFF617JTM.tsv	PC-3	ENCFF617JTM
ENCFF434VRE.tsv	right cardiac atrium	ENCFF434VRE
ENCFF421TJX.tsv	K562	ENCFF421TJX
ENCFF149KLH.tsv	placenta	ENCFF149KLH
ENCFF759RCN.tsv	left lung	ENCFF759RCN
ENCFF090XWE.tsv	T-cell	ENCFF090XWE
ENCFF863QWG.tsv	HepG2	ENCFF863QWG
ENCFF658HZH.tsv	posterior vena cava	ENCFF658HZH
ENCFF741NOM.tsv	placenta	ENCFF741NOM
ENCFF459HRW.tsv	placenta	ENCFF459HRW
ENCFF973CPC.tsv	activated T-cell	ENCFF973CPC
ENCFF019GCP.tsv	foreskin keratinocyte	ENCFF019GCP
ENCFF241RWC.tsv	foreskin keratinocyte	ENCFF241RWC
ENCFF141OXD.tsv	mesenteric fat pad	ENCFF141OXD
ENCFF764ITI.tsv	pancreas	ENCFF764ITI
ENCFF154PPT.tsv	HFFc6	ENCFF154PPT
ENCFF062KDX.tsv	placenta	ENCFF062KDX
ENCFF993QRD.tsv	right cardiac atrium	ENCFF993QRD
ENCFF792KTB.tsv	adrenal gland	ENCFF792KTB
ENCFF288QKP.tsv	ovary	ENCFF288QKP
ENCFF643LBM.tsv	endodermal cell	ENCFF643LBM
ENCFF288NWG.tsv	pancreas	ENCFF288NWG
ENCFF694CZM.tsv	placenta	ENCFF694CZM
ENCFF860KFR.tsv	mesothelial cell of epicardium	ENCFF860KFR
ENCFF852WKI.tsv	lower lobe of left lung	ENCFF852WKI
ENCFF993FDD.tsv	adrenal gland	ENCFF993FDD
ENCFF228JXX.tsv	lower lobe of left lung	ENCFF228JXX
ENCFF325KTI.tsv	IMR-90	ENCFF325KTI
ENCFF568EVC.tsv	aorta	ENCFF568EVC
ENCFF721BRA.tsv	MCF-7	ENCFF721BRA
ENCFF952GZT.tsv	posterior vena cava	ENCFF952GZT
ENCFF651KGY.tsv	left ventricle myocardium superior	ENCFF651KGY
ENCFF143INW.tsv	spleen	ENCFF143INW
ENCFF022DRF.tsv	spleen	ENCFF022DRF
ENCFF395XDK.tsv	H1	ENCFF395XDK
ENCFF629LFN.tsv	psoas muscle	ENCFF629LFN
ENCFF483MRL.tsv	excitatory neuron	ENCFF483MRL
ENCFF394BIS.tsv	left ventricle myocardium inferior	ENCFF394BIS
ENCFF928NYA.tsv	K562	ENCFF928NYA
ENCFF238QSB.tsv	activated T-cell	ENCFF238QSB
ENCFF597QME.tsv	psoas muscle	ENCFF597QME
ENCFF285AKX.tsv	colonic mucosa	ENCFF285AKX
ENCFF084FUG.tsv	GM12878	ENCFF084FUG
ENCFF717WSV.tsv	Right ventricle myocardium superior	ENCFF717WSV
ENCFF296APA.tsv	left lobe of liver	ENCFF296APA
ENCFF492RBW.tsv	T-cell	ENCFF492RBW
ENCFF090JUO.tsv	activated T-cell	ENCFF090JUO
ENCFF471MPG.tsv	heart right ventricle	ENCFF471MPG
ENCFF093OCA.tsv	ovary	ENCFF093OCA
ENCFF787FKA.tsv	T-cell	ENCFF787FKA
ENCFF889NCM.tsv	upper lobe of left lung	ENCFF889NCM
ENCFF333KZV.tsv	mucosa of gallbladder	ENCFF333KZV
ENCFF892OHT.tsv	endothelial cell	ENCFF892OHT
ENCFF345SHY.tsv	GM12878	ENCFF345SHY
ENCFF111ORO.tsv	progenitor cell of endocrine pancreas	ENCFF111ORO
ENCFF378HMN.tsv	ovary	ENCFF378HMN
ENCFF948IEB.tsv	HFFc6	ENCFF948IEB
ENCFF408FCD.tsv	heart left ventricle	ENCFF408FCD
ENCFF299BMI.tsv	type B pancreatic cell	ENCFF299BMI
ENCFF544IKF.tsv	activated naive CD8-positive, alpha-beta T cell	ENCFF544IKF
ENCFF169LQZ.tsv	colonic mucosa	ENCFF169LQZ
ENCFF705DBY.tsv	activated naive CD4-positive, alpha-beta T cell	ENCFF705DBY
ENCFF440HGB.tsv	heart left ventricle	ENCFF440HGB
ENCFF635IYG.tsv	left colon	ENCFF635IYG
ENCFF710IFD.tsv	Panc1	ENCFF710IFD
ENCFF488KLW.tsv	pancreas	ENCFF488KLW
ENCFF221IRL.tsv	placenta	ENCFF221IRL
ENCFF169YTW.tsv	upper lobe of left lung	ENCFF169YTW
ENCFF263XKP.tsv	HFFc6	ENCFF263XKP
ENCFF940XNR.tsv	HFFc6	ENCFF940XNR
ENCFF982CMC.tsv	placenta	ENCFF982CMC
ENCFF769IPE.tsv	lung	ENCFF769IPE
ENCFF784GEM.tsv	heart right ventricle	ENCFF784GEM
ENCFF004TUO.tsv	pancreas	ENCFF004TUO
ENCFF489CHJ.tsv	left lung	ENCFF489CHJ
ENCFF892DWO.tsv	GM23338	ENCFF892DWO
ENCFF216CFE.tsv	H9	ENCFF216CFE
ENCFF840MWP.tsv	right cardiac atrium	ENCFF840MWP
ENCFF036UCM.tsv	endodermal cell	ENCFF036UCM
ENCFF607DVO.tsv	ovary	ENCFF607DVO
ENCFF871JUN.tsv	osteocyte	ENCFF871JUN
ENCFF854EYM.tsv	placenta	ENCFF854EYM
ENCFF260VRG.tsv	sciatic nerve	ENCFF260VRG
ENCFF821VVG.tsv	heart right ventricle	ENCFF821VVG
ENCFF180ACE.tsv	mucosa of descending colon	ENCFF180ACE
ENCFF740CHD.tsv	left cardiac atrium	ENCFF740CHD
ENCFF856KIP.tsv	mucosa of descending colon	ENCFF856KIP
ENCFF658KST.tsv	right lobe of liver	ENCFF658KST
ENCFF378OOI.tsv	Right ventricle myocardium inferior	ENCFF378OOI
ENCFF701OLG.tsv	right lobe of liver	ENCFF701OLG
ENCFF103JDQ.tsv	upper lobe of right lung	ENCFF103JDQ
ENCFF508PCH.tsv	left colon	ENCFF508PCH
ENCFF687XPH.tsv	activated naive CD8-positive, alpha-beta T cell	ENCFF687XPH
ENCFF884MLJ.tsv	activated naive CD4-positive, alpha-beta T cell	ENCFF884MLJ
ENCFF460MYI.tsv	cardiac septum	ENCFF460MYI
ENCFF258PUQ.tsv	pancreas	ENCFF258PUQ
ENCFF932VTY.tsv	right lobe of liver	ENCFF932VTY
ENCFF666YEO.tsv	activated naive CD8-positive, alpha-beta T cell	ENCFF666YEO
ENCFF489OCT.tsv	activated naive CD4-positive, alpha-beta T cell	ENCFF489OCT
ENCFF278GBV.tsv	spleen	ENCFF278GBV
ENCFF613RIH.tsv	activated naive CD8-positive, alpha-beta T cell	ENCFF613RIH
ENCFF866KGD.tsv	activated naive CD4-positive, alpha-beta T cell	ENCFF866KGD
